"group","step","threshold","reconstruction","completion_acc","completion_ppl","actual_latent_per_byte","soft_latent_per_byte","chunks_per_byte"
"p4_c_other_plus_current_detached","9000","0.7","0.4411163330078125","0.12731300573796034","42.5730472243641","0.091400146484375","0.5584260188043118","0.0626983642578125"
"p4_c_other_plus_current_detached","12000","0.3","0.8852996826171875","0.13709365716204047","37.18166870261447","1.00189208984375","0.5469913557171822","0.0628814697265625"
"p4_c_other_plus_current_detached","12000","0.4","0.8779296875","0.13684873236343265","36.98353278252828","0.79095458984375","0.5469913557171822","0.0628814697265625"
"p4_c_other_plus_current_detached","12000","0.5","0.8406829833984375","0.13737281411886215","36.91262388673292","0.588043212890625","0.5469913557171822","0.0628814697265625"
"p4_c_other_plus_current_detached","12000","0.6","0.6826019287109375","0.13554087094962597","36.61822044076511","0.2728118896484375","0.5469913557171822","0.0628814697265625"
"p4_c_other_plus_current_detached","12000","0.7","0.45709228515625","0.13149476516991854","38.04050412974516","0.0809478759765625","0.5469913557171822","0.0628814697265625"
"p4_c_other_plus_current_detached","15000","0.3","0.8833160400390625","0.12900828523561358","37.63977620618442","1.0072021484375","0.5566217452287674","0.063262939453125"
"p4_c_other_plus_current_detached","15000","0.4","0.8793487548828125","0.12877420289441943","37.56082491286844","0.9125213623046875","0.5566217452287674","0.063262939453125"
"p4_c_other_plus_current_detached","15000","0.5","0.835418701171875","0.12996487878262997","37.516766010528514","0.5764617919921875","0.5566217452287674","0.063262939453125"
"p4_c_other_plus_current_detached","15000","0.6","0.6791534423828125","0.13218786800280213","38.095051273882206","0.2748870849609375","0.5566217452287674","0.063262939453125"
"p4_c_other_plus_current_detached","15000","0.7","0.5106353759765625","0.12590140709653497","40.744941100692515","0.0997161865234375","0.5566217452287674","0.063262939453125"
"p4_c_other_plus_current_detached","18000","0.3","0.8999481201171875","0.1300709811039269","36.50489902528961","1.0082244873046875","0.5532280243933201","0.06304931640625"
"p4_c_other_plus_current_detached","18000","0.4","0.8973388671875","0.12971985759213567","36.48465063587888","0.9658660888671875","0.5532280243933201","0.06304931640625"
"p4_c_other_plus_current_detached","18000","0.5","0.847381591796875","0.13279579114168882","36.216258435181146","0.587188720703125","0.5532280243933201","0.06304931640625"
"p4_c_other_plus_current_detached","18000","0.6","0.6400604248046875","0.1326708234846592","36.70491820307479","0.20184326171875","0.5532280243933201","0.06304931640625"
"p4_c_other_plus_current_detached","18000","0.7","0.50018310546875","0.12141768913716078","41.88097976025896","0.080718994140625","0.5532280243933201","0.06304931640625"
"p4_c_other_plus_current_detached","20000","0.3","0.910888671875","0.13029657443985343","36.4448348788305","1.005096435546875","0.5421695187687874","0.0629119873046875"
"p4_c_other_plus_current_detached","20000","0.4","0.90679931640625","0.13079436914995313","36.241191949712","0.9362335205078125","0.5421695187687874","0.0629119873046875"
"p4_c_other_plus_current_detached","20000","0.5","0.8489837646484375","0.1250879019498825","36.535084170110686","0.5287933349609375","0.5421695187687874","0.0629119873046875"
"p4_c_other_plus_current_detached","20000","0.6","0.6366119384765625","0.12762016570195556","37.964217838550965","0.1923065185546875","0.5421695187687874","0.0629119873046875"
"p4_c_other_plus_current_detached","20000","0.7","0.4980926513671875","0.12243973324075341","41.59232270779001","0.07940673828125","0.5421695187687874","0.0629119873046875"
